IoMT Prediction Alert Grouping Summary - Novelty 2
Student: MMM Ukasha  IT22904232
============================================================

Total prediction records : 1561
Incident groups formed   : 157
Grouping reduction       : 89.9%

Incident Groups:
incident_id  group_id group_category  alert_count              attack_types wards_affected devices_affected                       src_ips max_priority incident_priority  life_support_involved  predicted_attack_count  normal_count  critical_count  high_count  start_timestamp  end_timestamp
   INC-0000         0         attack            1           sensor_spoofing        Ward_01 MOTION_ESP32_001                  10.98.160.21       MEDIUM            MEDIUM                  False                       0             1               0           0    1777734260884  1777734260884
   INC-0001         1         attack            2 sensor_spoofing, flooding   General_Ward   TEMP_ESP32_001                 10.18.166.210       MEDIUM            MEDIUM                  False                       2             0               0           0    1777712257503  1777712283851
   INC-0002         2         attack            1           sensor_spoofing   General_Ward   TEMP_ESP32_001                 10.18.166.210       MEDIUM            MEDIUM                  False                       0             1               0           0    1777734167851  1777734167851
   INC-0003         3       critical            1                    normal  CRITICAL_CARE         890cc34f                 10.86.xxx.xxx     CRITICAL          CRITICAL                   True                       1             0               0           0    1777730903923  1777730903923
   INC-0004         4       critical            1                    normal  CRITICAL_CARE         890cc34f                 10.86.xxx.xxx     CRITICAL          CRITICAL                   True                       1             0               0           0    1777736857423  1777736857423
   INC-0005         5       critical            1                    normal  CRITICAL_CARE         890cc34f                 10.86.xxx.xxx     CRITICAL          CRITICAL                   True                       1             0               0           0    1777739531049  1777739531049
   INC-0006         6       critical            1                    normal  CRITICAL_CARE         890cc34f                 10.86.xxx.xxx     CRITICAL          CRITICAL                   True                       1             0               0           0    1777739780251  1777739780251
   INC-0007         7       critical            2                    normal  CRITICAL_CARE         890cc34f                 10.86.xxx.xxx     CRITICAL          CRITICAL                   True                       2             0               0           0    1777741869679  1777741894270
   INC-0008         8       critical            2                    normal  CRITICAL_CARE         890cc34f                 10.86.xxx.xxx     CRITICAL          CRITICAL                   True                       2             0               0           0    1777814519905  1777814574527
   INC-0009         9       critical            1                    normal  CRITICAL_CARE         890cc34f                 10.86.xxx.xxx     CRITICAL          CRITICAL                   True                       1             0               0           0    1777814652390  1777814652390
   INC-0010        10       critical            1                    normal  CRITICAL_CARE         890cc34f                 10.86.xxx.xxx     CRITICAL          CRITICAL                   True                       1             0               0           0    1777815631996  1777815631996
   INC-0011        11       critical            1                    normal  CRITICAL_CARE         890cc34f                 10.86.xxx.xxx     CRITICAL          CRITICAL                   True                       1             0               0           0    1777816872899  1777816872899
   INC-0012        12       critical            1                    normal  CRITICAL_CARE         890cc34f                 10.86.xxx.xxx     CRITICAL          CRITICAL                   True                       1             0               0           0    1777818894551  1777818894551
   INC-0013        13       critical            1                    normal  CRITICAL_CARE         890cc34f                 10.86.xxx.xxx     CRITICAL          CRITICAL                   True                       1             0               0           0    1777822385302  1777822385302
