timestamp,device_id,device_type,ward,life_support,criticality_tier,protocol,src_ip,dst_port,ecg_raw_value,heart_rate_bpm,r_peak_detected,rhythm_label,label,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,fall_detected,posture_event,temperature_celsius,attack_type,is_attack,anomaly_flag,prediction
1022983,32,0,2,False,7,0,57,1883,2011.0,72.0,1,1,0,,,,,,,-1,-1,,-1,-1,1,
1024995,32,0,2,False,7,0,57,1883,2099.0,73.0,0,1,0,,,,,,,-1,-1,,-1,-1,1,
1027025,32,0,2,False,7,0,57,1883,2127.0,73.0,0,1,0,,,,,,,-1,-1,,-1,-1,1,
1029054,32,0,2,False,7,0,57,1883,2177.0,72.0,0,1,0,,,,,,,-1,-1,,-1,-1,1,
1031075,32,0,2,False,7,0,57,1883,2244.0,73.0,0,1,0,,,,,,,-1,-1,,-1,-1,1,
1033085,32,0,2,False,7,0,57,1883,2318.0,72.0,0,1,0,,,,,,,-1,-1,,-1,-1,1,
1035105,32,0,2,False,7,0,57,1883,2301.0,73.0,0,1,0,,,,,,,-1,-1,,-1,-1,1,
1037128,32,0,2,False,7,0,57,1883,2345.0,72.0,0,1,0,,,,,,,-1,-1,,-1,-1,1,
1039157,32,0,2,False,7,0,57,1883,2351.0,73.0,0,1,0,,,,,,,-1,-1,,-1,-1,1,
1041176,32,0,2,False,7,0,57,1883,2356.0,74.0,0,1,0,,,,,,,-1,-1,,-1,-1,1,
1043182,32,0,2,False,7,0,57,1883,2288.0,73.0,0,1,0,,,,,,,-1,-1,,-1,-1,1,
1045212,32,0,2,False,7,0,57,1883,2240.0,72.0,0,1,0,,,,,,,-1,-1,,-1,-1,1,
1047215,32,0,2,False,7,0,57,1883,2238.0,70.0,0,1,0,,,,,,,-1,-1,,-1,-1,1,
1049228,32,0,2,False,7,0,57,1883,2195.0,70.0,0,1,0,,,,,,,-1,-1,,-1,-1,1,
1051238,32,0,2,False,7,0,57,1883,2103.0,71.0,0,1,0,,,,,,,-1,-1,,-1,-1,1,
1053260,32,0,2,False,7,0,57,1883,2046.0,71.0,0,1,0,,,,,,,-1,-1,,-1,-1,1,
1055272,32,0,2,False,7,0,57,1883,1995.0,72.0,0,1,0,,,,,,,-1,-1,,-1,-1,1,
1057301,32,0,2,False,7,0,57,1883,1920.0,71.0,0,1,0,,,,,,,-1,-1,,-1,-1,1,
1059325,32,0,2,False,7,0,57,1883,1886.0,71.0,0,1,0,,,,,,,-1,-1,,-1,-1,1,
1061352,32,0,2,False,7,0,57,1883,1787.0,71.0,0,1,0,,,,,,,-1,-1,,-1,-1,1,
1063356,32,0,2,False,7,0,57,1883,1753.0,71.0,0,1,0,,,,,,,-1,-1,,-1,-1,1,
1065361,32,0,2,False,7,0,57,1883,1790.0,71.0,0,1,0,,,,,,,-1,-1,,-1,-1,1,
1067386,32,0,2,False,7,0,57,1883,1788.0,70.0,0,1,0,,,,,,,-1,-1,,-1,-1,1,
1069396,32,0,2,False,7,0,57,1883,1778.0,70.0,0,1,0,,,,,,,-1,-1,,-1,-1,1,
1071406,32,0,2,False,7,0,57,1883,1751.0,71.0,0,1,0,,,,,,,-1,-1,,-1,-1,1,
1073432,32,0,2,False,7,0,57,1883,1816.0,71.0,0,1,0,,,,,,,-1,-1,,-1,-1,1,
1075438,32,0,2,False,7,0,57,1883,1847.0,71.0,0,1,0,,,,,,,-1,-1,,-1,-1,1,
1077460,32,0,2,False,7,0,57,1883,1837.0,72.0,0,1,0,,,,,,,-1,-1,,-1,-1,1,
1079494,32,0,2,False,7,0,57,1883,1946.0,73.0,0,1,0,,,,,,,-1,-1,,-1,-1,1,
1081527,32,0,2,False,7,0,57,1883,2003.0,72.0,0,1,0,,,,,,,-1,-1,,-1,-1,1,
1083539,32,0,2,False,7,0,57,1883,2041.0,73.0,1,1,0,,,,,,,-1,-1,,-1,-1,1,
1085571,32,0,2,False,7,0,57,1883,2218.0,74.0,0,1,0,,,,,,,-1,-1,,-1,-1,1,
1087581,32,0,2,False,7,0,57,1883,2192.0,75.0,0,1,0,,,,,,,-1,-1,,-1,-1,1,
1089588,32,0,2,False,7,0,57,1883,2222.0,74.0,0,1,0,,,,,,,-1,-1,,-1,-1,1,
1091622,32,0,2,False,7,0,57,1883,2276.0,75.0,0,1,0,,,,,,,-1,-1,,-1,-1,1,
1093631,32,0,2,False,7,0,57,1883,2299.0,75.0,0,1,0,,,,,,,-1,-1,,-1,-1,1,
1095643,32,0,2,False,7,0,57,1883,2295.0,75.0,0,1,0,,,,,,,-1,-1,,-1,-1,1,
1097654,32,0,2,False,7,0,57,1883,2339.0,75.0,0,1,0,,,,,,,-1,-1,,-1,-1,1,
1099678,32,0,2,False,7,0,57,1883,2329.0,75.0,0,1,0,,,,,,,-1,-1,,-1,-1,1,
1101707,32,0,2,False,7,0,57,1883,2306.0,74.0,0,1,0,,,,,,,-1,-1,,-1,-1,1,
1103736,32,0,2,False,7,0,57,1883,2326.0,74.0,0,1,0,,,,,,,-1,-1,,-1,-1,1,
1105767,32,0,2,False,7,0,57,1883,2261.0,75.0,0,1,0,,,,,,,-1,-1,,-1,-1,1,
1107804,32,0,2,False,7,0,57,1883,2221.0,76.0,0,1,0,,,,,,,-1,-1,,-1,-1,1,
1109823,32,0,2,False,7,0,57,1883,2140.0,76.0,0,1,0,,,,,,,-1,-1,,-1,-1,1,
