criticality_tier,life_support,device_type_encoded,ward_encoded,protocol_encoded,packet_size,packet_rate,packets_per_sec,unique_ports,failed_connections,bytes_sent,bytes_received,flow_duration,hour_of_day,day_of_week,is_night,is_weekend,attack_type_encoded,attack_severity,network_anomaly_score,behavioral_anomaly_score,time_anomaly_score
6,0,2,2,4,133,18,0.3,1,0,2394,1597,17.39,18,6,0,1,6,0,0.053571,0.132718,0.074049
5,0,3,4,0,977,1194,19.9,35,169,1166538,514938,11.62,14,6,0,1,2,40,0.666656,0.775312,0.578726
8,0,2,0,4,364,25,0.42,1,4,9100,5628,22.84,10,1,0,0,6,0,0.068091,0.032794,0.039481
10,1,0,3,3,563,1324,22.07,26,90,745412,376049,23.13,8,3,0,0,4,42,0.844197,0.664237,0.31176
5,0,4,4,3,1884,731,12.18,25,148,1377204,649898,21.69,14,1,0,0,4,32,0.625004,0.825444,0.249043
9,1,3,0,3,334,10,0.17,1,1,3340,1615,13.52,14,4,0,0,6,0,0.197477,0.130812,0.005947
8,0,2,0,4,228,42,0.7,1,5,9576,3191,14.61,19,4,0,0,6,0,0.151147,0.180287,0.001734
5,0,3,2,0,224,7,0.12,1,5,1568,730,25.23,11,0,0,0,6,0,0.075709,0.140529,0.069178
9,1,3,0,3,1561,902,15.03,19,95,1408022,694801,52.95,15,1,0,0,0,30,0.686635,0.679506,0.290015
9,1,0,0,3,426,48,0.8,1,1,20448,7074,50.45,17,5,0,1,6,0,0.103423,0.000878,0.023969
8,0,2,0,4,351,46,0.77,1,4,16146,10026,45.04,7,2,0,0,6,0,0.128309,0.010106,0.006817
7,0,2,5,4,1368,1005,16.75,42,26,1374840,895708,3.21,9,5,0,1,8,25,0.832056,0.576241,0.302812
9,1,3,0,3,135,27,0.45,1,1,3645,2526,50.28,18,0,0,0,6,0,0.152373,0.04511,0.076819
6,0,2,2,4,505,10,0.17,1,1,5050,1837,31.75,10,5,0,1,6,0,0.041304,0.010487,0.061102
4,0,1,4,1,463,46,0.77,1,2,21298,13613,13.95,13,2,0,0,6,0,0.038615,0.191691,0.042325
5,0,4,5,1,300,8,0.13,1,4,2400,1672,1.88,8,6,0,1,6,0,0.122338,0.069347,0.035905
5,0,3,2,0,343,48,0.8,1,4,16464,6099,40.03,5,0,1,0,6,0,0.152743,0.107755,0.092683
6,0,4,1,3,395,37,0.62,1,4,14615,7594,38.91,3,4,1,0,6,0,0.043374,0.121848,0.01282
10,1,0,3,3,730,238,3.97,42,78,173740,71454,29.97,23,1,1,0,4,38,0.692633,0.828486,0.411652
4,0,4,2,2,252,39,0.65,1,3,9828,5128,39.75,20,0,0,0,6,0,0.165599,0.033641,0.021652
7,0,2,5,4,132,30,0.5,1,2,3960,2205,43.69,12,4,0,0,6,0,0.162723,0.053034,0.02708
10,1,0,3,3,369,22,0.37,1,3,8118,3470,50.5,16,4,0,0,6,0,0.017615,0.005122,0.077207
9,1,3,0,3,1189,734,12.23,50,142,872726,609926,18.7,21,2,0,0,1,42,0.910969,0.868037,0.475172
5,0,4,5,1,498,49,0.82,1,3,24402,10916,52.44,21,1,0,0,6,0,0.132755,0.05919,0.071739
6,0,4,1,3,174,44,0.73,1,2,7656,3827,31.17,5,1,1,0,6,0,0.124037,0.058522,0.006369
